Em,IDSessao,Pedido,IP,Pageviews
06/11/2012 14:19:00,918066362,,"66.249.75.202",1
06/11/2012 14:18:00,918066191,,"66.249.75.203",1
06/11/2012 14:10:00,918060716,,"66.249.75.182",1
06/11/2012 14:08:00,918059602,,"66.249.75.182",1
06/11/2012 14:08:00,918059471,,"66.249.75.211",1
06/11/2012 14:00:00,918054634,,"66.249.75.216",1
06/11/2012 13:58:00,918053439,,"66.249.75.175",1
06/11/2012 13:57:00,918052293,,"66.249.75.168",1
06/11/2012 13:55:00,918050913,,"66.249.75.171",1
06/11/2012 13:53:00,918049613,,"66.249.75.202",1
06/11/2012 13:52:00,918049199,,"66.249.75.219",1
06/11/2012 13:49:00,918047549,,"66.249.75.201",1
06/11/2012 13:49:00,918047121,,"66.249.75.195",1
06/11/2012 13:47:00,918046394,,"66.249.75.166",1
06/11/2012 13:47:00,918045735,,"66.249.75.192",1
06/11/2012 13:45:00,918044634,,"66.249.75.174",1
06/11/2012 13:45:00,918044633,,"66.249.75.167",1
06/11/2012 13:44:00,918043930,,"66.249.75.168",1
06/11/2012 13:43:00,918042783,,"66.249.75.214",1
06/11/2012 13:40:00,918041065,,"66.249.75.199",1
06/11/2012 13:39:00,918040551,,"66.249.75.194",1
06/11/2012 13:39:00,918040276,,"66.249.75.215",1
06/11/2012 13:36:00,918038578,,"66.249.75.220",1
06/11/2012 13:36:00,918038005,,"66.249.75.192",1
06/11/2012 13:36:00,918037997,,"66.249.75.167",1
06/11/2012 13:36:00,918037882,,"66.249.75.181",1
06/11/2012 13:35:00,918037602,,"66.249.75.181",1
06/11/2012 13:35:00,918037365,,"66.249.75.220",1
06/11/2012 13:35:00,918037276,,"66.249.75.190",1
06/11/2012 13:34:00,918037056,,"66.249.75.217",1
06/11/2012 13:33:00,918036394,,"66.249.75.167",1
06/11/2012 13:33:00,918036034,,"66.249.75.214",1
06/11/2012 13:32:00,918035085,,"66.249.75.200",1
06/11/2012 13:31:00,918034712,,"66.249.75.176",1
06/11/2012 13:29:00,918033180,,"66.249.75.194",1
06/11/2012 13:28:00,918032431,,"66.249.75.177",1
